averages

"Player","G","MPG","PPG","FGMPG","FGAPG","FG%","2PMPG","2PAPG","2P%","3PMPG","3PAPG","3P%","TSAPG","TS%","FTAPG","FTMPG","ORPG","DRPG","RPG","APG","STPG","TOPG","A/TO","BLKPG","PFPG","FOPG","EFF","eFG%","Off Rat"
"Vaisakh Manoj","6","27.1","9.7","3.3","11.3","29.4","1.8","4.7","39.3","1.5","6.7","22.5","12.3","39.1","2.3","1.5","1.5","3.7","5.2","2","0.8","2.7","75","0.5","2.3","1.8","40","36","-154.7"
"Rishab Mathur","5","19.8","11.2","4.6","9.8","46.9","2.6","5","52","2","4.8","41.7","9.8","57.1","0","0","1.4","2.6","4","0.6","0.8","0.4","150","0.4","1.2","0.4","57","57.1","0"
"Piyush Meena","7","28.6","5.3","2","6.3","31.8","2","5.7","35","0","0.6","0","6.9","38.2","1.4","1.3","2.1","5.9","8","1.4","1.3","1","142.9","0.7","2.3","1.3","79","31.8","-535.2"
"Aaron Monterio","4","27.7","9.3","4.3","8.5","50","3.8","6.3","60","0.5","2.3","22.2","8.8","53","0.5","0.3","0.5","1.8","2.3","3","1.8","2","150","0","1.3","1.5","39","52.9","0"
"Sagar Mori","4","19.6","7.3","2.8","8","34.4","2.3","5","45","0.5","3","16.7","8.8","41.9","1.5","1.3","0.5","1.8","2.3","1.3","0.8","1.8","71.4","0.3","1.5","1.3","18","37.5","100.8"
"Muhammed Shiras N.","6","16.4","5.2","2.2","6.2","35.1","1.5","3","50","0.7","3.2","21.1","6.3","40.9","0.3","0.2","2","1.2","3.2","2.5","1","0.5","500","0.5","0.8","0.7","46","40.5","79.2"
"Amarendra Nayak","7","18.5","9.6","4.1","8.1","50.9","4","7.1","56","0.1","1","14.3","9","53.4","1.9","1.1","1.9","2.9","4.7","1.3","0.9","1.3","100","0.3","0.4","1.7","75","51.8","0"
"Hemant Nayak","6","6.8","0.8","0.3","2.3","14.3","0.2","1.7","10","0.2","0.7","25","2.3","17.9","0","0","0.2","1","1.2","0.7","0.3","0.7","100","0.2","0","0.2","3","17.9","0"
"Joshua Sunil Oommen","6","28.6","10.7","5","7.8","63.8","4.8","7.3","65.9","0.2","0.5","33.3","8.2","65.6","0.7","0.5","2","3.7","5.7","1.8","1.5","2.7","68.8","1.3","2.3","2","92","64.9","281"
"Nawaz Singh Panaich","7","29.8","11.9","4.3","10.4","41.1","1.6","2.6","61.1","2.7","7.9","34.5","11","54.2","1.1","0.6","1.3","4.6","5.9","3.1","1.3","1.1","275","0.3","0.7","1.1","102","54.1","72.6"
"Chris Viresh PK","4","27.7","2","0.8","3.3","23.1","0.3","1.3","20","0.5","2","25","3.3","30.8","0","0","1","3.8","4.8","4","0.3","1.8","228.6","0","2.5","0.8","27","30.8","0"
"Gautam PK","4","14.7","8.3","3","5","60","2","2.5","80","1","2.5","40","5.8","71.5","1.8","1.3","0.5","2.3","2.8","0.8","0.3","2","37.5","0.3","0.3","1","31","70","-311.5"
"Baladhaneshwar Poiyamozhi","7","22.4","11.1","4.3","7.6","56.6","3.1","5.3","59.5","1.1","2.3","50","8.3","66.9","1.7","1.4","0.6","2.7","3.3","3.3","1.7","1.4","230","0.1","1.3","2","102","64.2","59.7"
"Prem Prakash","6","6.2","1.7","0.7","2.3","28.6","0.3","0.8","40","0.3","1.5","22.2","2.7","31.7","0.7","0","0.2","0.3","0.5","0.3","0.2","0.5","66.7","0","0.3","0.5","-1","35.7","27.2"
"Vishnu Prasad","2","5.8","1","0.5","2","25","0.5","2","25","0","0","0","2","25","0","0","0","0","0","0","0","0.5","0","0","0","0","-2","25","0"
"Pranav Prince","7","26.1","9.6","3.9","8.4","45.8","3.1","5.3","59.5","0.7","3.1","22.7","9.4","51.1","2.1","1.1","3.1","5.3","8.4","3","2.7","3.4","87.5","1.6","2.1","1.9","114","50","-1,547.2"
"Kasi Rajan","4","28.3","5.8","2.5","9.3","27","2.5","8.8","28.6","0","0.5","0","10","28.7","1.8","0.8","0.5","3","3.5","5","0.3","5.5","90.9","0","0.8","2.5","5","27","0"
"Shreyansh Raj Singh","8","20","7","2.6","9.4","28","1.1","3.3","34.6","1.5","6.1","24.5","9.5","36.9","0.3","0.3","0.6","2","2.6","0.6","0.4","1.9","33.3","0.1","1.4","0.6","17","36","-653.4"
"Gajendra Singh Rathore","6","21.4","6","2.5","6.7","37.5","1.7","3.2","52.6","5","3.5","23.8","6.8","44","0.3","0.2","1.7","2.7","4.3","1.7","1.5","0.8","200","0.3","1.5","0.3","52","43.8","-12.1"
"Jaideep Rathore","5","12.5","5.8","1.8","4.8","37.5","0.4","2.2","18.2","1.4","2.6","53.8","5.2","55.3","1","0.8","0.6","0.6","1.2","2.2","0.4","1.2","183.3","0","0.6","1","26","52.1","0"
"Prashant Singh Rawat","7","15.7","7","3","5.6","53.8","2.7","4.1","65.5","0.3","1.4","20","6.6","53.7","2.1","0.7","1.6","3","4.6","1","0.7","0.6","175","0.7","0.7","1.9","66","56.4","511.8"
"Dhiraj Reddy","4","13.5","3.3","1.5","3.5","42.9","1.3","2.5","50","0.3","1","25","3.5","46.4","0","0","0.3","0.5","0.8","2.8","0.3","1.3","220","0","1.3","0","15","46.4","0"
"M. Pranav Reddy","2","7.9","0","0","2","0","0","1","0","0","1","0","2","0","0","0","0","0.5","0.5","0","0","0","0","0","0","0","-3","0","0"
"Ajin Reji","3","9.7","5","2.3","4.7","50","2","2.7","75","0.3","2","16.7","4.7","53.6","0","0","0.7","1","1.7","1.3","0.7","1","133.3","0","1","0","16","53.6","0"
